club_id,club_name,competition_id,competition_name,country_name,season,season_label,matches_played,wins,points_earned,points_per_match,win_percentage,goal_difference,players_with_minutes,players_with_eligible_valuation,valuation_coverage_percentage,estimated_squad_value_eur,estimated_squad_value_millions_eur,expected_points_per_match,performance_residual,league_season_model_r_squared,eligible_club_count,efficiency_rank_within_league_season,efficiency_rank_across_leagues
1050,Villarreal CF,ES1,laliga,Spain,2021,2021-22,38,16,59,1.55,42.11,26,26,26,100,387400000,387.4,1.684,-0.134,0.821,20,18,73
10,Arminia Bielefeld,L1,bundesliga,Germany,2021,2021-22,34,5,28,0.82,14.71,-26,25,25,100,60850000,60.85,0.979,-0.159,0.595,18,12,74
6574,US Sassuolo,IT1,serie-a,Italy,2021,2021-22,38,13,50,1.32,34.21,-2,28,28,100,240700000,240.7,1.486,-0.166,0.867,20,16,75
18,Borussia Mönchengladbach,L1,bundesliga,Germany,2021,2021-22,34,12,45,1.32,35.29,-7,25,25,100,231100000,231.1,1.505,-0.185,0.595,18,13,76
1041,Olympique Lyon,FR1,ligue-1,France,2021,2021-22,38,17,62,1.63,44.74,15,29,29,100,385100000,385.1,1.826,-0.196,0.761,20,15,77
399,Leeds United,GB1,premier-league,England,2021,2021-22,38,9,38,1,23.68,-37,27,27,100,295300000,295.3,1.203,-0.203,0.775,20,16,78
969,Montpellier HSC,FR1,ligue-1,France,2021,2021-22,38,12,43,1.13,31.58,-12,25,25,100,140850000,140.85,1.337,-0.207,0.761,20,16,79
65,SpVgg Greuther Fürth,L1,bundesliga,Germany,2021,2021-22,34,3,18,0.53,8.82,-54,26,26,100,34500000,34.5,0.756,-0.226,0.595,18,14,80
252,Genoa CFC,IT1,serie-a,Italy,2021,2021-22,38,4,28,0.74,10.53,-33,33,33,100,105900000,105.9,0.971,-0.231,0.867,20,17,81
1082,LOSC Lille,FR1,ligue-1,France,2021,2021-22,38,14,55,1.45,36.84,0,24,24,100,287100000,287.1,1.683,-0.233,0.761,20,17,82
800,Atalanta BC,IT1,serie-a,Italy,2021,2021-22,38,16,59,1.55,42.11,17,28,28,100,387600000,387.6,1.785,-0.235,0.867,20,18,83
347,FC Metz,FR1,ligue-1,France,2021,2021-22,38,6,31,0.82,15.79,-34,29,29,100,79400000,79.4,1.058,-0.238,0.761,20,18,84
506,Juventus FC,IT1,serie-a,Italy,2021,2021-22,38,20,70,1.84,52.63,20,29,29,100,618900000,618.9,2.079,-0.239,0.867,20,19,85
1003,Leicester City,GB1,premier-league,England,2021,2021-22,38,14,52,1.37,36.84,3,26,26,100,510500000,510.5,1.612,-0.242,0.775,20,17,86
24,Eintracht Frankfurt,L1,bundesliga,Germany,2021,2021-22,34,10,42,1.24,29.41,-4,27,27,100,222750000,222.75,1.49,-0.25,0.595,18,15,87
1390,Cagliari Calcio,IT1,serie-a,Italy,2021,2021-22,38,6,30,0.79,15.79,-34,28,28,100,124350000,124.35,1.071,-0.281,0.867,20,20,88
618,AS Saint-Étienne,FR1,ligue-1,France,2021,2021-22,38,7,32,0.84,18.42,-35,27,27,100,95600000,95.6,1.148,-0.308,0.761,20,19,89
82,VfL Wolfsburg,L1,bundesliga,Germany,2021,2021-22,34,12,42,1.24,35.29,-11,29,29,100,259100000,259.1,1.55,-0.31,0.595,18,16,90
985,Manchester United,GB1,premier-league,England,2021,2021-22,38,16,58,1.53,42.11,0,29,27,93.1,701500000,701.5,1.85,-0.32,0.775,20,18,91
40,FC Girondins Bordeaux,FR1,ligue-1,France,2021,2021-22,38,6,31,0.82,15.79,-39,31,31,100,94600000,94.6,1.143,-0.323,0.761,20,20,92
1049,Valencia CF,ES1,laliga,Spain,2021,2021-22,38,11,48,1.26,28.95,-5,30,30,100,308000000,308,1.59,-0.33,0.821,20,19,93
44,Hertha BSC,L1,bundesliga,Germany,2021,2021-22,34,9,33,0.97,26.47,-34,31,30,96.77,147250000,147.25,1.327,-0.357,0.595,18,17,94
3709,Getafe CF,ES1,laliga,Spain,2021,2021-22,38,8,39,1.03,21.05,-8,25,25,100,193700000,193.7,1.4,-0.37,0.821,20,20,95
405,Aston Villa,GB1,premier-league,England,2021,2021-22,38,13,45,1.18,34.21,-2,30,30,100,470600000,470.6,1.551,-0.371,0.775,20,19,96
79,VfB Stuttgart,L1,bundesliga,Germany,2021,2021-22,34,7,33,0.97,20.59,-18,31,31,100,169600000,169.6,1.383,-0.413,0.595,18,18,97
29,Everton FC,GB1,premier-league,England,2021,2021-22,38,11,39,1.03,28.95,-23,29,29,100,467300000,467.3,1.546,-0.516,0.775,20,20,98
3524,Clermont Foot 63,FR1,ligue-1,France,2022,2022-23,38,17,59,1.55,44.74,-4,28,28,100,46800000,46.8,0.843,0.707,0.64,20,1,1
826,RC Lens,FR1,ligue-1,France,2022,2022-23,38,25,84,2.21,65.79,39,29,29,100,233400000,233.4,1.583,0.627,0.64,20,2,2
89,1.FC Union Berlin,L1,bundesliga,Germany,2022,2022-23,34,18,62,1.82,52.94,13,28,28,100,154300000,154.3,1.295,0.525,0.672,18,1,3
931,Fulham FC,GB1,premier-league,England,2022,2022-23,38,15,52,1.37,39.47,2,29,28,96.55,278500000,278.5,0.933,0.437,0.485,20,1,4
762,Newcastle United,GB1,premier-league,England,2022,2022-23,38,19,71,1.87,50,35,27,26,96.3,529500000,529.5,1.44,0.43,0.485,20,2,5
398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,2022,2022-23,38,22,74,1.95,57.89,30,24,24,100,259900000,259.9,1.532,0.418,0.848,20,1,6
1148,Brentford FC,GB1,premier-league,England,2022,2022-23,38,15,59,1.55,39.47,12,25,25,100,363500000,363.5,1.143,0.407,0.485,20,3,7
60,SC Freiburg,L1,bundesliga,Germany,2022,2022-23,34,17,59,1.74,50,7,27,27,100,196950000,196.95,1.4,0.34,0.672,18,2,8
11,Arsenal FC,GB1,premier-league,England,2022,2022-23,38,26,84,2.21,68.42,45,26,25,96.15,953000000,953,1.903,0.307,0.485,20,4,9
281,Manchester City,GB1,premier-league,England,2022,2022-23,38,28,89,2.34,73.68,61,24,23,95.83,1132000000,1132,2.039,0.301,0.485,20,5,10
2919,AC Monza,IT1,serie-a,Italy,2022,2022-23,38,14,52,1.37,36.84,-4,31,30,96.77,133350000,133.35,1.092,0.278,0.848,20,2,11
2687,Cádiz CF,ES1,laliga,Spain,2022,2022-23,38,10,42,1.11,26.32,-23,38,38,100,64250000,64.25,0.856,0.254,0.831,20,1,12
1025,Bologna Football Club 1909,IT1,serie-a,Italy,2022,2022-23,38,14,54,1.42,36.84,4,27,27,100,150300000,150.3,1.171,0.249,0.848,20,3,13
985,Manchester United,GB1,premier-league,England,2022,2022-23,38,23,75,1.97,60.53,15,26,26,100,756800000,756.8,1.721,0.249,0.485,20,6,14
1237,Brighton & Hove Albion,GB1,premier-league,England,2022,2022-23,38,18,62,1.63,47.37,19,29,24,82.76,498200000,498.2,1.392,0.238,0.485,20,7,15
16,Borussia Dortmund,L1,bundesliga,Germany,2022,2022-23,34,22,71,2.09,64.71,39,30,30,100,561950000,561.95,1.853,0.237,0.672,18,3,16
405,Aston Villa,GB1,premier-league,England,2022,2022-23,38,18,61,1.61,47.37,5,26,26,100,490600000,490.6,1.38,0.23,0.485,20,8,17
6195,SSC Napoli,IT1,serie-a,Italy,2022,2022-23,38,28,90,2.37,73.68,49,27,27,100,653300000,653.3,2.141,0.229,0.848,20,4,18
237,RCD Mallorca,ES1,laliga,Spain,2022,2022-23,38,14,50,1.32,36.84,-6,31,29,93.55,103825000,103.83,1.092,0.228,0.831,20,2,19
80,VfL Bochum,L1,bundesliga,Germany,2022,2022-23,34,10,35,1.03,29.41,-32,26,26,100,51400000,51.4,0.821,0.209,0.672,18,4,20
131,FC Barcelona,ES1,laliga,Spain,2022,2022-23,38,28,88,2.32,73.68,50,29,25,86.21,823500000,823.5,2.114,0.206,0.831,20,3,21
367,Rayo Vallecano,ES1,laliga,Spain,2022,2022-23,38,13,49,1.29,34.21,-8,28,26,92.86,102800000,102.8,1.087,0.203,0.831,20,4,22
244,Olympique Marseille,FR1,ligue-1,France,2022,2022-23,38,22,73,1.92,57.89,27,30,30,100,328600000,328.6,1.74,0.18,0.64,20,3,23
1082,LOSC Lille,FR1,ligue-1,France,2022,2022-23,38,19,67,1.76,50,21,26,26,100,245150000,245.15,1.606,0.154,0.64,20,4,24
23826,RB Leipzig,L1,bundesliga,Germany,2022,2022-23,34,20,66,1.94,58.82,23,25,25,100,483900000,483.9,1.788,0.152,0.672,18,5,25
13,Atlético de Madrid,ES1,laliga,Spain,2022,2022-23,38,23,77,2.03,60.53,37,27,27,100,513150000,513.15,1.88,0.15,0.831,20,5,26
873,Crystal Palace,GB1,premier-league,England,2022,2022-23,38,11,45,1.18,28.95,-9,26,25,96.15,316300000,316.3,1.033,0.147,0.485,20,9,27
380,US Salernitana 1919,IT1,serie-a,Italy,2022,2022-23,38,9,42,1.11,23.68,-14,30,29,96.67,113575000,113.58,0.986,0.124,0.848,20,5,28
331,CA Osasuna,ES1,laliga,Spain,2022,2022-23,38,15,53,1.39,39.47,-5,26,26,100,148000000,148,1.267,0.123,0.831,20,6,29
39,1.FSV Mainz 05,L1,bundesliga,Germany,2022,2022-23,34,12,46,1.35,35.29,-1,27,27,100,132700000,132.7,1.23,0.12,0.672,18,6,30
1147,AC Ajaccio,FR1,ligue-1,France,2022,2022-23,38,7,26,0.68,18.42,-51,36,36,100,26250000,26.25,0.577,0.103,0.64,20,5,31
749,FC Empoli,IT1,serie-a,Italy,2022,2022-23,38,10,43,1.13,26.32,-12,32,32,100,121400000,121.4,1.03,0.1,0.848,20,6,32
3,1.FC Köln,L1,bundesliga,Germany,2022,2022-23,34,10,42,1.24,29.41,-5,27,27,100,109800000,109.8,1.148,0.092,0.672,18,7,34
3911,Stade Brestois 29,FR1,ligue-1,France,2022,2022-23,38,11,44,1.16,28.95,-10,29,29,100,76200000,76.2,1.068,0.092,0.64,20,6,33
989,AFC Bournemouth,GB1,premier-league,England,2022,2022-23,38,11,39,1.03,28.95,-34,31,30,96.77,284400000,284.4,0.95,0.08,0.485,20,10,35
583,Paris Saint-Germain,FR1,ligue-1,France,2022,2022-23,38,27,85,2.24,71.05,49,26,26,100,826300000,826.3,2.165,0.075,0.64,20,7,36
150,Real Betis Balompié,ES1,laliga,Spain,2022,2022-23,38,17,60,1.58,44.74,5,30,30,100,242950000,242.95,1.512,0.068,0.831,20,7,37
681,Real Sociedad,ES1,laliga,Spain,2022,2022-23,38,21,71,1.87,55.26,16,30,30,100,438600000,438.6,1.803,0.067,0.831,20,8,38
12321,Girona FC,ES1,laliga,Spain,2022,2022-23,38,13,49,1.29,34.21,3,29,27,93.1,138300000,138.3,1.234,0.056,0.831,20,9,39
1005,US Lecce,IT1,serie-a,Italy,2022,2022-23,38,8,36,0.95,21.05,-13,29,29,100,98750000,98.75,0.894,0.056,0.848,20,7,40
415,FC Toulouse,FR1,ligue-1,France,2022,2022-23,38,13,48,1.26,34.21,-6,29,29,100,103350000,103.35,1.208,0.052,0.64,20,8,41
416,Torino FC,IT1,serie-a,Italy,2022,2022-23,38,14,53,1.39,36.84,1,28,28,100,195300000,195.3,1.344,0.046,0.848,20,8,42
290,AJ Auxerre,FR1,ligue-1,France,2022,2022-23,38,8,35,0.92,21.05,-28,32,31,96.88,50200000,50.2,0.876,0.044,0.64,20,9,43
366,Real Valladolid CF,ES1,laliga,Spain,2022,2022-23,38,11,40,1.05,28.95,-30,36,36,100,90000000,90,1.022,0.028,0.831,20,10,44
1050,Villarreal CF,ES1,laliga,Spain,2022,2022-23,38,19,64,1.68,50,19,32,31,96.88,326500000,326.5,1.657,0.023,0.831,20,11,45
27,Bayern Munich,L1,bundesliga,Germany,2022,2022-23,34,21,71,2.09,61.76,54,28,28,100,931200000,931.2,2.071,0.019,0.672,18,8,46
1158,FC Lorient,FR1,ligue-1,France,2022,2022-23,38,15,55,1.45,39.47,-1,30,30,100,168100000,168.1,1.432,0.018,0.64,20,10,47
86,SV Werder Bremen,L1,bundesliga,Germany,2022,2022-23,34,10,36,1.06,29.41,-13,25,25,100,86500000,86.5,1.045,0.015,0.672,18,9,48
31,Liverpool FC,GB1,premier-league,England,2022,2022-23,38,19,67,1.76,50,28,28,26,92.86,782500000,782.5,1.748,0.012,0.485,20,11,49
2239,US Cremonese,IT1,serie-a,Italy,2022,2022-23,38,5,27,0.71,13.16,-33,33,32,96.97,74600000,74.6,0.709,0.001,0.848,20,9,50
148,Tottenham Hotspur,GB1,premier-league,England,2022,2022-23,38,18,60,1.58,47.37,7,29,27,93.1,647100000,647.1,1.598,-0.018,0.485,20,12,51
969,Montpellier HSC,FR1,ligue-1,France,2022,2022-23,38,15,50,1.32,39.47,3,31,30,96.77,138350000,138.35,1.342,-0.022,0.64,20,11,52
800,Atalanta BC,IT1,serie-a,Italy,2022,2022-23,38,19,64,1.68,50,18,27,27,100,337375000,337.38,1.705,-0.025,0.848,20,10,53
273,Stade Rennais FC,FR1,ligue-1,France,2022,2022-23,38,21,68,1.79,55.26,30,32,32,100,386950000,386.95,1.816,-0.026,0.64,20,12,54
82,VfL Wolfsburg,L1,bundesliga,Germany,2022,2022-23,34,13,49,1.44,38.24,9,28,28,100,234600000,234.6,1.476,-0.036,0.672,18,10,55
506,Juventus FC,IT1,serie-a,Italy,2022,2022-23,38,22,72,1.89,57.89,23,29,29,100,476600000,476.6,1.932,-0.042,0.848,20,11,56
3709,Getafe CF,ES1,laliga,Spain,2022,2022-23,38,10,42,1.11,26.32,-11,25,23,92,117500000,117.5,1.153,-0.043,0.831,20,12,57
430,ACF Fiorentina,IT1,serie-a,Italy,2022,2022-23,38,15,56,1.47,39.47,10,30,30,100,254800000,254.8,1.519,-0.049,0.848,20,12,59
3302,UD Almería,ES1,laliga,Spain,2022,2022-23,38,11,41,1.08,28.95,-16,29,29,100,111800000,111.8,1.129,-0.049,0.831,20,13,58
1421,Stade Reims,FR1,ligue-1,France,2022,2022-23,38,12,51,1.34,31.58,0,34,33,97.06,157500000,157.5,1.402,-0.062,0.64,20,13,60
12,Associazione Sportiva Roma,IT1,serie-a,Italy,2022,2022-23,38,18,63,1.66,47.37,12,30,30,100,350700000,350.7,1.73,-0.07,0.848,20,13,61
162,AS Monaco,FR1,ligue-1,France,2022,2022-23,38,19,65,1.71,50,12,27,27,100,365800000,365.8,1.79,-0.08,0.64,20,14,62
703,Nottingham Forest,GB1,premier-league,England,2022,2022-23,38,9,38,1,23.68,-30,33,32,96.97,341800000,341.8,1.095,-0.095,0.485,20,13,63
940,Celta de Vigo,ES1,laliga,Spain,2022,2022-23,38,11,43,1.13,28.95,-10,26,26,100,136400000,136.4,1.227,-0.097,0.831,20,14,64
410,Udinese Calcio,IT1,serie-a,Italy,2022,2022-23,38,11,46,1.21,28.95,-1,30,30,100,185575000,185.58,1.31,-0.1,0.848,20,14,65
44,Hertha BSC,L1,bundesliga,Germany,2022,2022-23,34,7,29,0.85,20.59,-27,29,29,100,71500000,71.5,0.963,-0.113,0.672,18,11,66
418,Real Madrid,ES1,laliga,Spain,2022,2022-23,38,24,78,2.05,63.16,39,26,26,100,915500000,915.5,2.166,-0.116,0.831,20,15,67
621,Athletic Bilbao,ES1,laliga,Spain,2022,2022-23,38,14,51,1.34,36.84,4,26,26,100,221100000,221.1,1.465,-0.125,0.831,20,16,68
33,FC Schalke 04,L1,bundesliga,Germany,2022,2022-23,34,7,31,0.91,20.59,-36,35,35,100,84975000,84.98,1.038,-0.128,0.672,18,12,69
1041,Olympique Lyon,FR1,ligue-1,France,2022,2022-23,38,18,62,1.63,47.37,18,29,29,100,346200000,346.2,1.764,-0.134,0.64,20,15,70
24,Eintracht Frankfurt,L1,bundesliga,Germany,2022,2022-23,34,13,50,1.47,38.24,6,28,28,100,318450000,318.45,1.608,-0.138,0.672,18,13,71
46,Inter Milan,IT1,serie-a,Italy,2022,2022-23,38,23,72,1.89,60.53,29,25,25,100,555000000,555,2.033,-0.143,0.848,20,15,72
3522,Spezia Calcio,IT1,serie-a,Italy,2022,2022-23,38,6,31,0.82,15.79,-31,34,34,100,111300000,111.3,0.973,-0.153,0.848,20,16,73
714,RCD Espanyol Barcelona,ES1,laliga,Spain,2022,2022-23,38,8,37,0.97,21.05,-17,33,33,100,115700000,115.7,1.146,-0.176,0.831,20,17,74
5,AC Milan,IT1,serie-a,Italy,2022,2022-23,38,20,70,1.84,52.63,21,30,30,100,544000000,544,2.02,-0.18,0.848,20,17,75
417,OGC Nice,FR1,ligue-1,France,2022,2022-23,38,15,58,1.53,39.47,11,34,33,97.06,307700000,307.7,1.71,-0.18,0.64,20,16,76
368,Sevilla FC,ES1,laliga,Spain,2022,2022-23,38,13,49,1.29,34.21,-7,35,35,100,228300000,228.3,1.481,-0.191,0.831,20,18,77
18,Borussia Mönchengladbach,L1,bundesliga,Germany,2022,2022-23,34,11,43,1.26,32.35,-3,27,27,100,223950000,223.95,1.456,-0.196,0.672,18,14,78
276,Hellas Verona,IT1,serie-a,Italy,2022,2022-23,38,7,31,0.82,18.42,-28,36,36,100,122300000,122.3,1.035,-0.215,0.848,20,18,79
167,FC Augsburg,L1,bundesliga,Germany,2022,2022-23,34,9,34,1,26.47,-21,34,34,100,128900000,128.9,1.217,-0.217,0.672,18,15,80
1531,Elche CF,ES1,laliga,Spain,2022,2022-23,38,5,25,0.66,13.16,-37,32,31,96.88,67500000,67.5,0.88,-0.22,0.831,20,19,81
399,Leeds United,GB1,premier-league,England,2022,2022-23,38,7,31,0.82,18.42,-30,29,27,93.1,322400000,322.4,1.048,-0.228,0.485,20,14,82
29,Everton FC,GB1,premier-league,England,2022,2022-23,38,8,36,0.95,21.05,-23,28,26,92.86,380800000,380.8,1.18,-0.23,0.485,20,15,83
667,RC Strasbourg Alsace,FR1,ligue-1,France,2022,2022-23,38,9,40,1.05,23.68,-8,29,29,100,122800000,122.8,1.287,-0.237,0.64,20,17,84
1038,UC Sampdoria,IT1,serie-a,Italy,2022,2022-23,38,3,19,0.5,7.89,-47,40,39,97.5,78950000,78.95,0.746,-0.246,0.848,20,19,85
379,West Ham United,GB1,premier-league,England,2022,2022-23,38,11,40,1.05,28.95,-13,25,24,96,443800000,443.8,1.301,-0.251,0.485,20,16,86
543,Wolverhampton Wanderers,GB1,premier-league,England,2022,2022-23,38,11,41,1.08,28.95,-27,32,30,93.75,468500000,468.5,1.343,-0.263,0.485,20,17,87
6574,US Sassuolo,IT1,serie-a,Italy,2022,2022-23,38,12,45,1.18,31.58,-14,31,31,100,231850000,231.85,1.457,-0.277,0.848,20,20,88
15,Bayer 04 Leverkusen,L1,bundesliga,Germany,2022,2022-23,34,14,50,1.47,41.18,8,27,26,96.3,446100000,446.1,1.753,-0.283,0.672,18,16,89
533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,2022,2022-23,34,10,36,1.06,29.41,-9,31,31,100,175750000,175.75,1.351,-0.291,0.672,18,17,90
79,VfB Stuttgart,L1,bundesliga,Germany,2022,2022-23,34,7,33,0.97,20.59,-12,30,30,100,147900000,147.9,1.277,-0.307,0.672,18,18,91
995,FC Nantes,FR1,ligue-1,France,2022,2022-23,38,7,36,0.95,18.42,-18,29,29,100,118050000,118.05,1.269,-0.319,0.64,20,18,92
1049,Valencia CF,ES1,laliga,Spain,2022,2022-23,38,11,42,1.11,28.95,-3,28,28,100,237300000,237.3,1.5,-0.39,0.831,20,20,93
1095,ESTAC Troyes,FR1,ligue-1,France,2022,2022-23,38,4,24,0.63,10.53,-36,32,32,100,74300000,74.3,1.056,-0.426,0.64,20,19,94
1003,Leicester City,GB1,premier-league,England,2022,2022-23,38,9,34,0.89,23.68,-17,28,27,96.43,479000000,479,1.361,-0.471,0.485,20,18,95
180,Southampton FC,GB1,premier-league,England,2022,2022-23,38,6,25,0.66,15.79,-37,36,33,91.67,395700000,395.7,1.21,-0.55,0.485,20,19,96
1420,Angers SCO,FR1,ligue-1,France,2022,2022-23,38,4,18,0.47,10.53,-48,33,33,100,70950000,70.95,1.035,-0.565,0.64,20,20,97
631,Chelsea FC,GB1,premier-league,England,2022,2022-23,38,11,44,1.16,28.95,-9,32,31,96.88,941000000,941,1.893,-0.733,0.485,20,20,98
3911,Stade Brestois 29,FR1,ligue-1,France,2023,2023-24,34,17,61,1.79,50,19,25,25,100,113100000,113.1,1.145,0.645,0.693,18,1,1
15,Bayer 04 Leverkusen,L1,bundesliga,Germany,2023,2023-24,34,28,90,2.65,82.35,65,24,24,100,654000000,654,2.064,0.586,0.749,18,1,2
12321,Girona FC,ES1,laliga,Spain,2023,2023-24,38,25,81,2.13,65.79,39,25,22,88,286850000,286.85,1.58,0.55,0.74,20,1,3
79,VfB Stuttgart,L1,bundesliga,Germany,2023,2023-24,34,23,73,2.15,67.65,39,27,27,100,309250000,309.25,1.649,0.501,0.749,18,2,4
2036,1. Fußballclub Heidenheim 1846,L1,bundesliga,Germany,2023,2023-24,34,10,42,1.24,29.41,-5,22,22,100,65400000,65.4,0.788,0.452,0.749,18,3,5
1031,Luton Town,GB1,premier-league,England,2023,2023-24,38,6,26,0.68,15.79,-33,28,26,92.86,131700000,131.7,0.31,0.37,0.866,20,1,6
46,Inter Milan,IT1,serie-a,Italy,2023,2023-24,38,29,94,2.47,76.32,67,27,27,100,646100000,646.1,2.106,0.364,0.808,20,1,7
367,Rayo Vallecano,ES1,laliga,Spain,2023,2023-24,38,8,38,1,21.05,-19,26,25,96.15,62500000,62.5,0.709,0.291,0.74,20,2,8
11,Arsenal FC,GB1,premier-league,England,2023,2023-24,38,28,89,2.34,73.68,62,25,25,100,1148500000,1148.5,2.071,0.269,0.866,20,3,10
31,Liverpool FC,GB1,premier-league,England,2023,2023-24,38,24,82,2.16,63.16,45,30,28,93.33,920250000,920.25,1.891,0.269,0.866,20,2,9
162,AS Monaco,FR1,ligue-1,France,2023,2023-24,34,20,67,1.97,58.82,26,30,30,100,380800000,380.8,1.728,0.242,0.693,18,2,11
398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,2023,2023-24,38,18,61,1.61,47.37,10,22,22,100,218000000,218,1.381,0.229,0.808,20,2,12
80,VfL Bochum,L1,bundesliga,Germany,2023,2023-24,34,7,33,0.97,20.59,-32,25,25,100,61750000,61.75,0.756,0.214,0.749,18,4,13
13,Atlético de Madrid,ES1,laliga,Spain,2023,2023-24,38,24,76,2,63.16,27,27,27,100,417800000,417.8,1.795,0.205,0.74,20,3,14
621,Athletic Bilbao,ES1,laliga,Spain,2023,2023-24,38,19,68,1.79,50,24,27,27,100,294600000,294.6,1.595,0.195,0.74,20,4,15
1390,Cagliari Calcio,IT1,serie-a,Italy,2023,2023-24,38,8,36,0.95,21.05,-26,29,29,100,85575000,85.58,0.757,0.193,0.808,20,3,16
2687,Cádiz CF,ES1,laliga,Spain,2023,2023-24,38,6,33,0.87,15.79,-29,34,34,100,59100000,59.1,0.678,0.192,0.74,20,5,17
331,CA Osasuna,ES1,laliga,Spain,2023,2023-24,38,12,45,1.18,31.58,-11,29,29,100,103750000,103.75,0.999,0.181,0.74,20,6,18
1421,Stade Reims,FR1,ligue-1,France,2023,2023-24,34,13,47,1.38,38.24,-5,29,27,93.1,127250000,127.25,1.201,0.179,0.693,18,3,19
1025,Bologna Football Club 1909,IT1,serie-a,Italy,2023,2023-24,38,18,68,1.79,47.37,22,28,28,100,308400000,308.4,1.613,0.177,0.808,20,4,20
1005,US Lecce,IT1,serie-a,Italy,2023,2023-24,38,8,38,1,21.05,-22,26,26,100,96700000,96.7,0.839,0.161,0.808,20,5,21
281,Manchester City,GB1,premier-league,England,2023,2023-24,38,28,91,2.39,73.68,62,25,25,100,1410000000,1410,2.238,0.152,0.866,20,4,22
237,RCD Mallorca,ES1,laliga,Spain,2023,2023-24,38,8,40,1.05,21.05,-11,25,25,100,87100000,87.1,0.899,0.151,0.74,20,7,23
405,Aston Villa,GB1,premier-league,England,2023,2023-24,38,20,68,1.79,52.63,15,31,30,96.77,678300000,678.3,1.643,0.147,0.866,20,5,24
418,Real Madrid,ES1,laliga,Spain,2023,2023-24,38,29,95,2.5,76.32,61,27,27,100,1127800000,1127.8,2.362,0.138,0.74,20,8,25
1108,Deportivo Alavés,ES1,laliga,Spain,2023,2023-24,38,12,46,1.21,31.58,-10,30,30,100,121050000,121.05,1.087,0.123,0.74,20,9,26
2919,AC Monza,IT1,serie-a,Italy,2023,2023-24,38,11,45,1.18,28.95,-12,31,30,96.77,135800000,135.8,1.066,0.114,0.808,20,7,28
749,FC Empoli,IT1,serie-a,Italy,2023,2023-24,38,9,36,0.95,23.68,-25,34,34,100,96200000,96.2,0.836,0.114,0.808,20,6,27
430,ACF Fiorentina,IT1,serie-a,Italy,2023,2023-24,38,17,60,1.58,44.74,15,30,30,100,248200000,248.2,1.468,0.112,0.808,20,8,29
1082,LOSC Lille,FR1,ligue-1,France,2023,2023-24,34,16,59,1.74,47.06,18,28,28,100,312450000,312.45,1.633,0.107,0.693,18,4,30
931,Fulham FC,GB1,premier-league,England,2023,2023-24,38,13,47,1.24,34.21,-6,25,24,96,369800000,369.8,1.149,0.091,0.866,20,6,31
29,Everton FC,GB1,premier-league,England,2023,2023-24,38,13,48,1.26,34.21,-11,26,25,96.15,380000000,380,1.171,0.089,0.866,20,7,32
826,RC Lens,FR1,ligue-1,France,2023,2023-24,34,14,51,1.5,41.18,8,27,27,100,201200000,201.2,1.421,0.079,0.693,18,5,33
417,OGC Nice,FR1,ligue-1,France,2023,2023-24,34,15,55,1.62,44.12,11,27,27,100,260450000,260.45,1.546,0.074,0.693,18,6,34
416,Torino FC,IT1,serie-a,Italy,2023,2023-24,38,13,53,1.39,34.21,0,30,30,100,199600000,199.6,1.323,0.067,0.808,20,9,35
150,Real Betis Balompié,ES1,laliga,Spain,2023,2023-24,38,14,57,1.5,36.84,3,35,35,100,222650000,222.65,1.435,0.065,0.74,20,10,36
989,AFC Bournemouth,GB1,premier-league,England,2023,2023-24,38,13,48,1.26,34.21,-13,30,30,100,396600000,396.6,1.206,0.054,0.866,20,8,37
86,SV Werder Bremen,L1,bundesliga,Germany,2023,2023-24,34,11,42,1.24,32.35,-6,30,29,96.67,134600000,134.6,1.188,0.052,0.749,18,5,38
583,Paris Saint-Germain,FR1,ligue-1,France,2023,2023-24,34,22,76,2.24,64.71,48,29,29,100,999300000,999.3,2.192,0.048,0.693,18,7,39
415,FC Toulouse,FR1,ligue-1,France,2023,2023-24,34,11,43,1.26,32.35,-4,26,26,100,136600000,136.6,1.235,0.025,0.693,18,8,40
533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,2023,2023-24,34,13,46,1.35,38.24,0,30,30,100,172900000,172.9,1.326,0.024,0.749,18,6,41
379,West Ham United,GB1,premier-league,England,2023,2023-24,38,14,52,1.37,36.84,-14,26,25,96.15,472300000,472.3,1.348,0.022,0.866,20,9,42
8970,Frosinone Calcio,IT1,serie-a,Italy,2023,2023-24,38,8,35,0.92,21.05,-25,34,34,100,106250000,106.25,0.902,0.018,0.808,20,10,43
738,Le Havre AC,FR1,ligue-1,France,2023,2023-24,34,7,32,0.94,20.59,-11,27,27,100,71300000,71.3,0.923,0.017,0.693,18,9,44
350,Sheffield United,GB1,premier-league,England,2023,2023-24,38,3,16,0.42,7.89,-69,35,31,88.57,148850000,148.85,0.409,0.011,0.866,20,10,45
873,Crystal Palace,GB1,premier-league,England,2023,2023-24,38,13,49,1.29,34.21,-1,26,25,96.15,434700000,434.7,1.281,0.009,0.866,20,11,46
131,FC Barcelona,ES1,laliga,Spain,2023,2023-24,38,26,85,2.24,68.42,35,29,29,100,901500000,901.5,2.234,0.006,0.74,20,11,48
